Role,Object,Create,Read,Edit,Delete,Access Code,Record Scope,Design Status,Control Notes
Warehouse Manager,Accounts,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Customer/company master. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Manager,Contacts,No,No,No,No,,Warehouse / enterprise inventory,Proposed,People related to accounts. No business need identified in this baseline.
Warehouse Manager,Customer Locations,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Manager,Opportunities,No,No,No,No,,Warehouse / enterprise inventory,Proposed,Sales pipeline records. No business need identified in this baseline.
Warehouse Manager,Marketing Initiatives,No,No,No,No,,Warehouse / enterprise inventory,Proposed,Campaign/initiative tags and activity. No business need identified in this baseline.
Warehouse Manager,Sales Orders,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Manager,Commissions,No,No,No,No,,Warehouse / enterprise inventory,Proposed,Calculated and approved sales compensation. No business need identified in this baseline.
Warehouse Manager,Work Orders,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Manager,Dispatch Schedule,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Technician schedule and assignment. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Manager,Technician Time / Non-work,No,No,No,No,,Warehouse / enterprise inventory,Proposed,Labor and non-work time records. No business need identified in this baseline.
Warehouse Manager,Parts Catalog,Yes,Yes,Yes,No,CRE,Warehouse / enterprise inventory,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Manager,Inventory Stock,Yes,Yes,Yes,No,CRE,Warehouse / enterprise inventory,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Manager,Inventory Adjustments,Yes,Yes,Yes,No,CRE,Warehouse / enterprise inventory,Proposed,"Counts, corrections, and governed adjustments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Manager,Purchase Orders,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Procurement commitments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Manager,Receiving,Yes,Yes,Yes,No,CRE,Warehouse / enterprise inventory,Proposed,"Receipt and intake transactions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Manager,Transfer Orders,Yes,Yes,Yes,No,CRE,Warehouse / enterprise inventory,Proposed,"Warehouse/mobile/location movements. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Manager,Serialized Assets,Yes,Yes,Yes,No,CRE,Warehouse / enterprise inventory,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Manager,Equipment / Installed Base,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Customer equipment and service history. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Manager,Invoices / AR,No,No,No,No,,Warehouse / enterprise inventory,Proposed,Billing and receivables. No business need identified in this baseline.
Warehouse Manager,Payments,No,No,No,No,,Warehouse / enterprise inventory,Proposed,Payment records and application. No business need identified in this baseline.
Warehouse Manager,Notifications,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Operational alerts and attention items. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Manager,Users,No,No,No,No,,Warehouse / enterprise inventory,Proposed,User identities and activation. No business need identified in this baseline.
Warehouse Manager,Roles / Permissions,No,No,No,No,,Warehouse / enterprise inventory,Proposed,"Role definitions, grants, and protected access. No business need identified in this baseline."
Warehouse Manager,Audit Log,No,Yes,No,No,R,Warehouse / enterprise inventory,Proposed,"Append-only evidence of governed actions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Accounts,No,No,No,No,,Assigned warehouse,Proposed,Customer/company master. No business need identified in this baseline.
Warehouse Associate,Contacts,No,No,No,No,,Assigned warehouse,Proposed,People related to accounts. No business need identified in this baseline.
Warehouse Associate,Customer Locations,No,Yes,No,No,R,Assigned warehouse,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Associate,Opportunities,No,No,No,No,,Assigned warehouse,Proposed,Sales pipeline records. No business need identified in this baseline.
Warehouse Associate,Marketing Initiatives,No,No,No,No,,Assigned warehouse,Proposed,Campaign/initiative tags and activity. No business need identified in this baseline.
Warehouse Associate,Sales Orders,No,Yes,No,No,R,Assigned warehouse,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Commissions,No,No,No,No,,Assigned warehouse,Proposed,Calculated and approved sales compensation. No business need identified in this baseline.
Warehouse Associate,Work Orders,No,Yes,No,No,R,Assigned warehouse,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Dispatch Schedule,No,No,No,No,,Assigned warehouse,Proposed,Technician schedule and assignment. No business need identified in this baseline.
Warehouse Associate,Technician Time / Non-work,No,No,No,No,,Assigned warehouse,Proposed,Labor and non-work time records. No business need identified in this baseline.
Warehouse Associate,Parts Catalog,No,Yes,No,No,R,Assigned warehouse,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Associate,Inventory Stock,No,Yes,Yes,No,RE,Assigned warehouse,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Associate,Inventory Adjustments,No,Yes,No,No,R,Assigned warehouse,Proposed,"Counts, corrections, and governed adjustments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Purchase Orders,No,Yes,No,No,R,Assigned warehouse,Proposed,"Procurement commitments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Receiving,No,Yes,Yes,No,RE,Assigned warehouse,Proposed,"Receipt and intake transactions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Transfer Orders,No,Yes,Yes,No,RE,Assigned warehouse,Proposed,"Warehouse/mobile/location movements. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Serialized Assets,No,Yes,Yes,No,RE,Assigned warehouse,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Warehouse Associate,Equipment / Installed Base,No,Yes,No,No,R,Assigned warehouse,Proposed,"Customer equipment and service history. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Associate,Invoices / AR,No,No,No,No,,Assigned warehouse,Proposed,Billing and receivables. No business need identified in this baseline.
Warehouse Associate,Payments,No,No,No,No,,Assigned warehouse,Proposed,Payment records and application. No business need identified in this baseline.
Warehouse Associate,Notifications,No,Yes,No,No,R,Assigned warehouse,Proposed,"Operational alerts and attention items. Access is subject to role scope, segregation of duties, and audit logging."
Warehouse Associate,Users,No,No,No,No,,Assigned warehouse,Proposed,User identities and activation. No business need identified in this baseline.
Warehouse Associate,Roles / Permissions,No,No,No,No,,Assigned warehouse,Proposed,"Role definitions, grants, and protected access. No business need identified in this baseline."
Warehouse Associate,Audit Log,No,No,No,No,,Assigned warehouse,Proposed,Append-only evidence of governed actions. No business need identified in this baseline.
Purchasing Manager,Accounts,No,No,No,No,,Enterprise procurement,Proposed,Customer/company master. No business need identified in this baseline.
Purchasing Manager,Contacts,No,No,No,No,,Enterprise procurement,Proposed,People related to accounts. No business need identified in this baseline.
Purchasing Manager,Customer Locations,No,No,No,No,,Enterprise procurement,Proposed,"Service, delivery, and installation sites. No business need identified in this baseline."
Purchasing Manager,Opportunities,No,No,No,No,,Enterprise procurement,Proposed,Sales pipeline records. No business need identified in this baseline.
Purchasing Manager,Marketing Initiatives,No,No,No,No,,Enterprise procurement,Proposed,Campaign/initiative tags and activity. No business need identified in this baseline.
Purchasing Manager,Sales Orders,No,Yes,No,No,R,Enterprise procurement,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Commissions,No,No,No,No,,Enterprise procurement,Proposed,Calculated and approved sales compensation. No business need identified in this baseline.
Purchasing Manager,Work Orders,No,Yes,No,No,R,Enterprise procurement,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Dispatch Schedule,No,No,No,No,,Enterprise procurement,Proposed,Technician schedule and assignment. No business need identified in this baseline.
Purchasing Manager,Technician Time / Non-work,No,No,No,No,,Enterprise procurement,Proposed,Labor and non-work time records. No business need identified in this baseline.
Purchasing Manager,Parts Catalog,No,Yes,No,No,R,Enterprise procurement,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Purchasing Manager,Inventory Stock,No,Yes,No,No,R,Enterprise procurement,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
Purchasing Manager,Inventory Adjustments,No,Yes,No,No,R,Enterprise procurement,Proposed,"Counts, corrections, and governed adjustments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Purchase Orders,Yes,Yes,Yes,No,CRE,Enterprise procurement,Proposed,"Procurement commitments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Receiving,No,Yes,No,No,R,Enterprise procurement,Proposed,"Receipt and intake transactions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Transfer Orders,No,Yes,No,No,R,Enterprise procurement,Proposed,"Warehouse/mobile/location movements. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Serialized Assets,No,Yes,No,No,R,Enterprise procurement,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Equipment / Installed Base,No,Yes,No,No,R,Enterprise procurement,Proposed,"Customer equipment and service history. Access is subject to role scope, segregation of duties, and audit logging."
Purchasing Manager,Invoices / AR,No,Yes,No,No,R,Enterprise procurement,Proposed,"Billing and receivables. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Purchasing Manager,Payments,No,No,No,No,,Enterprise procurement,Proposed,Payment records and application. No business need identified in this baseline.
Purchasing Manager,Notifications,No,Yes,No,No,R,Enterprise procurement,Proposed,"Operational alerts and attention items. Access is subject to role scope, segregation of duties, and audit logging."
Purchasing Manager,Users,No,No,No,No,,Enterprise procurement,Proposed,User identities and activation. No business need identified in this baseline.
Purchasing Manager,Roles / Permissions,No,No,No,No,,Enterprise procurement,Proposed,"Role definitions, grants, and protected access. No business need identified in this baseline."
Purchasing Manager,Audit Log,No,No,No,No,,Enterprise procurement,Proposed,Append-only evidence of governed actions. No business need identified in this baseline.
Accounting Manager,Accounts,No,Yes,No,No,R,Enterprise finance,Proposed,"Customer/company master. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Contacts,No,Yes,No,No,R,Enterprise finance,Proposed,"People related to accounts. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Customer Locations,No,Yes,No,No,R,Enterprise finance,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Opportunities,No,Yes,No,No,R,Enterprise finance,Proposed,"Sales pipeline records. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Marketing Initiatives,No,No,No,No,,Enterprise finance,Proposed,Campaign/initiative tags and activity. No business need identified in this baseline.
Accounting Manager,Sales Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Commissions,Yes,Yes,Yes,No,CRE,Enterprise finance,Proposed,"Calculated and approved sales compensation. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Work Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Dispatch Schedule,No,No,No,No,,Enterprise finance,Proposed,Technician schedule and assignment. No business need identified in this baseline.
Accounting Manager,Technician Time / Non-work,No,No,No,No,,Enterprise finance,Proposed,Labor and non-work time records. No business need identified in this baseline.
Accounting Manager,Parts Catalog,No,Yes,No,No,R,Enterprise finance,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Inventory Stock,No,Yes,No,No,R,Enterprise finance,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Inventory Adjustments,No,Yes,No,No,R,Enterprise finance,Proposed,"Counts, corrections, and governed adjustments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Purchase Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Procurement commitments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Receiving,No,Yes,No,No,R,Enterprise finance,Proposed,"Receipt and intake transactions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Transfer Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Warehouse/mobile/location movements. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Serialized Assets,No,Yes,No,No,R,Enterprise finance,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Equipment / Installed Base,No,Yes,No,No,R,Enterprise finance,Proposed,"Customer equipment and service history. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Invoices / AR,Yes,Yes,Yes,No,CRE,Enterprise finance,Proposed,"Billing and receivables. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Payments,Yes,Yes,Yes,No,CRE,Enterprise finance,Proposed,"Payment records and application. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Accounting Manager,Notifications,No,Yes,No,No,R,Enterprise finance,Proposed,"Operational alerts and attention items. Access is subject to role scope, segregation of duties, and audit logging."
Accounting Manager,Users,No,No,No,No,,Enterprise finance,Proposed,User identities and activation. No business need identified in this baseline.
Accounting Manager,Roles / Permissions,No,No,No,No,,Enterprise finance,Proposed,"Role definitions, grants, and protected access. No business need identified in this baseline."
Accounting Manager,Audit Log,No,Yes,No,No,R,Enterprise finance,Proposed,"Append-only evidence of governed actions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Accounts,No,Yes,No,No,R,Enterprise finance,Proposed,"Customer/company master. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Contacts,No,Yes,No,No,R,Enterprise finance,Proposed,"People related to accounts. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Customer Locations,No,Yes,No,No,R,Enterprise finance,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Opportunities,No,Yes,No,No,R,Enterprise finance,Proposed,"Sales pipeline records. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Marketing Initiatives,No,No,No,No,,Enterprise finance,Proposed,Campaign/initiative tags and activity. No business need identified in this baseline.
Controller,Sales Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Commissions,Yes,Yes,Yes,No,CRE,Enterprise finance,Proposed,"Calculated and approved sales compensation. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Work Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Dispatch Schedule,No,No,No,No,,Enterprise finance,Proposed,Technician schedule and assignment. No business need identified in this baseline.
Controller,Technician Time / Non-work,No,No,No,No,,Enterprise finance,Proposed,Labor and non-work time records. No business need identified in this baseline.
Controller,Parts Catalog,No,Yes,No,No,R,Enterprise finance,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Inventory Stock,No,Yes,No,No,R,Enterprise finance,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Inventory Adjustments,No,Yes,No,No,R,Enterprise finance,Proposed,"Counts, corrections, and governed adjustments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Purchase Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Procurement commitments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Receiving,No,Yes,No,No,R,Enterprise finance,Proposed,"Receipt and intake transactions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Transfer Orders,No,Yes,No,No,R,Enterprise finance,Proposed,"Warehouse/mobile/location movements. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Serialized Assets,No,Yes,No,No,R,Enterprise finance,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Equipment / Installed Base,No,Yes,No,No,R,Enterprise finance,Proposed,"Customer equipment and service history. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Invoices / AR,Yes,Yes,Yes,No,CRE,Enterprise finance,Proposed,"Billing and receivables. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Payments,Yes,Yes,Yes,No,CRE,Enterprise finance,Proposed,"Payment records and application. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Controller,Notifications,No,Yes,No,No,R,Enterprise finance,Proposed,"Operational alerts and attention items. Access is subject to role scope, segregation of duties, and audit logging."
Controller,Users,No,No,No,No,,Enterprise finance,Proposed,User identities and activation. No business need identified in this baseline.
Controller,Roles / Permissions,No,No,No,No,,Enterprise finance,Proposed,"Role definitions, grants, and protected access. No business need identified in this baseline."
Controller,Audit Log,No,Yes,No,No,R,Enterprise finance,Proposed,"Append-only evidence of governed actions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Manager,Accounts,No,Yes,No,No,R,Service organization,Proposed,"Customer/company master. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Contacts,No,Yes,No,No,R,Service organization,Proposed,"People related to accounts. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Customer Locations,No,Yes,No,No,R,Service organization,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Opportunities,No,No,No,No,,Service organization,Proposed,Sales pipeline records. No business need identified in this baseline.
Shop Manager,Marketing Initiatives,No,No,No,No,,Service organization,Proposed,Campaign/initiative tags and activity. No business need identified in this baseline.
Shop Manager,Sales Orders,No,Yes,No,No,R,Service organization,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Manager,Commissions,No,No,No,No,,Service organization,Proposed,Calculated and approved sales compensation. No business need identified in this baseline.
Shop Manager,Work Orders,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Manager,Dispatch Schedule,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Technician schedule and assignment. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Technician Time / Non-work,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Labor and non-work time records. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Parts Catalog,No,Yes,No,No,R,Service organization,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Inventory Stock,No,Yes,No,No,R,Service organization,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Inventory Adjustments,No,No,No,No,,Service organization,Proposed,"Counts, corrections, and governed adjustments. No business need identified in this baseline."
Shop Manager,Purchase Orders,No,No,No,No,,Service organization,Proposed,Procurement commitments. No business need identified in this baseline.
Shop Manager,Receiving,No,No,No,No,,Service organization,Proposed,Receipt and intake transactions. No business need identified in this baseline.
Shop Manager,Transfer Orders,No,No,No,No,,Service organization,Proposed,Warehouse/mobile/location movements. No business need identified in this baseline.
Shop Manager,Serialized Assets,No,Yes,No,No,R,Service organization,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Manager,Equipment / Installed Base,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Customer equipment and service history. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Invoices / AR,No,Yes,No,No,R,Service organization,Proposed,"Billing and receivables. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Manager,Payments,No,No,No,No,,Service organization,Proposed,Payment records and application. No business need identified in this baseline.
Shop Manager,Notifications,No,Yes,No,No,R,Service organization,Proposed,"Operational alerts and attention items. Access is subject to role scope, segregation of duties, and audit logging."
Shop Manager,Users,No,No,No,No,,Service organization,Proposed,User identities and activation. No business need identified in this baseline.
Shop Manager,Roles / Permissions,No,No,No,No,,Service organization,Proposed,"Role definitions, grants, and protected access. No business need identified in this baseline."
Shop Manager,Audit Log,No,Yes,No,No,R,Service organization,Proposed,"Append-only evidence of governed actions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Associate,Accounts,No,Yes,No,No,R,Service organization,Proposed,"Customer/company master. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Contacts,No,Yes,No,No,R,Service organization,Proposed,"People related to accounts. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Customer Locations,No,Yes,No,No,R,Service organization,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Opportunities,No,No,No,No,,Service organization,Proposed,Sales pipeline records. No business need identified in this baseline.
Shop Associate,Marketing Initiatives,No,No,No,No,,Service organization,Proposed,Campaign/initiative tags and activity. No business need identified in this baseline.
Shop Associate,Sales Orders,No,Yes,No,No,R,Service organization,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Associate,Commissions,No,No,No,No,,Service organization,Proposed,Calculated and approved sales compensation. No business need identified in this baseline.
Shop Associate,Work Orders,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Associate,Dispatch Schedule,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Technician schedule and assignment. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Technician Time / Non-work,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Labor and non-work time records. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Parts Catalog,No,Yes,No,No,R,Service organization,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Inventory Stock,No,Yes,No,No,R,Service organization,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Inventory Adjustments,No,No,No,No,,Service organization,Proposed,"Counts, corrections, and governed adjustments. No business need identified in this baseline."
Shop Associate,Purchase Orders,No,No,No,No,,Service organization,Proposed,Procurement commitments. No business need identified in this baseline.
Shop Associate,Receiving,No,No,No,No,,Service organization,Proposed,Receipt and intake transactions. No business need identified in this baseline.
Shop Associate,Transfer Orders,No,No,No,No,,Service organization,Proposed,Warehouse/mobile/location movements. No business need identified in this baseline.
Shop Associate,Serialized Assets,No,Yes,No,No,R,Service organization,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Associate,Equipment / Installed Base,Yes,Yes,Yes,No,CRE,Service organization,Proposed,"Customer equipment and service history. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Invoices / AR,No,Yes,No,No,R,Service organization,Proposed,"Billing and receivables. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Shop Associate,Payments,No,No,No,No,,Service organization,Proposed,Payment records and application. No business need identified in this baseline.
Shop Associate,Notifications,No,Yes,No,No,R,Service organization,Proposed,"Operational alerts and attention items. Access is subject to role scope, segregation of duties, and audit logging."
Shop Associate,Users,No,No,No,No,,Service organization,Proposed,User identities and activation. No business need identified in this baseline.
Shop Associate,Roles / Permissions,No,No,No,No,,Service organization,Proposed,"Role definitions, grants, and protected access. No business need identified in this baseline."
Shop Associate,Audit Log,No,Yes,No,No,R,Service organization,Proposed,"Append-only evidence of governed actions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Accounts,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Customer/company master. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Contacts,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"People related to accounts. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Customer Locations,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Opportunities,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Sales pipeline records. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Marketing Initiatives,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Campaign/initiative tags and activity. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Sales Orders,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Commissions,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Calculated and approved sales compensation. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Work Orders,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Dispatch Schedule,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Technician schedule and assignment. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Technician Time / Non-work,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Labor and non-work time records. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Parts Catalog,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Inventory Stock,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
General Manager,Inventory Adjustments,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Counts, corrections, and governed adjustments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Purchase Orders,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Procurement commitments. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Receiving,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Receipt and intake transactions. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Transfer Orders,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Warehouse/mobile/location movements. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
General Manager,Serialized Assets,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Serial-controlled identity and custody. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
